area,lat,lon,district,name,population,state
160.85,50.77556,6.08361,Aachen,Aachen,248878,North Rhine-Westphalia
10.69,47.84556,8.85167,Konstanz,Aach,2314,Baden-Württemberg
146.63,48.833,10.100,Ostalbkreis,Aalen,68361,Baden-Württemberg
48.39,49.250,10.967,Roth,Abenberg,5492,Bavaria
60.29,48.800,11.850,Kelheim,Abensberg,14192,Bavaria
65.24,48.633,8.067,Ortenaukreis,Achern,25615,Baden-Württemberg
68.01,53.06528,9.03417,Verden,Achim,32084,Lower Saxony
43.84,49.40472,9.38917,Neckar-Odenwald-Kreis,Adelsheim,5099,Baden-Württemberg
18.56,50.383,6.933,Ahrweiler,Adenau,2955,Rhineland-Palatinate
42.92,50.317,12.267,Vogtlandkreis,Adorf,4841,Saxony
151.22,52.067,7.000,Borken,Ahaus,39404,North Rhine-Westphalia
123.14,51.76333,7.89111,Warendorf,Ahlen,52635,North Rhine-Westphalia
35.3,53.67472,10.24111,Stormarn,Ahrensburg,34052,Schleswig-Holstein
92.97,48.45000,11.13333,Aichach-Friedberg,Aichach,21488,Bavaria
23.64,48.62278,9.23722,Esslingen,Aichtal,9916,Baden-Württemberg
59.91,51.85000,12.05000,Anhalt-Bitterfeld,Aken,7417,Saxony-Anhalt
134.41,48.21194,9.02389,Zollernalbkreis,Albstadt,45472,Baden-Württemberg
72.86,51.98861,9.82694,Hildesheim,Alfeld,18478,Lower Saxony
22.01,50.67889,8.82444,Giessen,Allendorf,4034,Hesse
149.77,51.400,11.383,Mansfeld-Südharz,Allstedt,7650,Saxony-Anhalt
64.55,48.34611,8.40389,Freudenstadt,Alpirsbach,6251,Baden-Württemberg
31.658,50.883,6.167,Aachen,Alsdorf,47330,North Rhine-Westphalia
129.69,50.75111,9.27111,Vogelsbergkreis,Alsfeld,15941,Hesse
23.640,51.700,11.667,Salzlandkreis,Alsleben,2552,Saxony-Anhalt
46.59,49.38750,11.35694,Nürnberger Land,Altdorf bei Nürnberg,15450,Bavaria
44.29,51.30000,7.66667,Märkischer Kreis,Altena,16527,North Rhine-Westphalia
145.81,50.76444,13.75778,Sächsische Schweiz-Osterzgebirge,Altenberg,7880,Saxony
45.6,50.98500,12.43333,Altenburger Land,Altenburg,31101,Thuringia
11.00,50.68722,7.64556,Altenkirchen,Altenkirchen,6301,Rhineland-Palatinate
53.21,48.58639,8.60472,Calw,Altensteig,10781,Baden-Württemberg
52.83,53.667,13.250,Mecklenburgische Seenplatte,Altentreptow,5221,Mecklenburg-Western Pomerania
106.21,52.56667,13.73306,Märkisch-Oderland,Altlandsberg,9662,Brandenburg
23.43,48.22667,12.67833,Altötting,Altötting,12977,Bavaria
59.33,50.067,9.067,Aschaffenburg,Alzenau,18525,Bavaria
35.21,49.74583,8.11528,Alzey-Worms,Alzey,18820,Rhineland-Palatinate
50.04,49.44444,11.84833,Urban district,Amberg,42052,Bavaria
50.92,49.633,9.217,Miltenberg,Amorbach,3947,Bavaria
69.73,51.05139,10.24472,Wartburgkreis,Amt Creuzburg,4705,Thuringia
43.95,50.79778,8.92306,Marburg-Biedenkopf,Amöneburg,4980,Hesse
95.29,51.300,11.217,Kyffhäuserkreis,An der Schmücke,5945,Thuringia
53.23,50.43972,7.40167,Mayen-Koblenz,Andernach,30132,Rhineland-Palatinate
326.44,53.03333,14.00000,Uckermark,Angermünde,13637,Brandenburg
56.57,53.850,13.683,Vorpommern-Greifswald,Anklam,12288,Mecklenburg-Western Pomerania
27.70,50.58000,13.00222,Erzgebirgskreis,Annaberg-Buchholz,19393,Saxony
224.19,51.73278,13.04556,Wittenberg,Annaburg,6635,Saxony-Anhalt
39.87,49.200,7.967,Südliche Weinstraße,Annweiler am Trifels,7085,Rhineland-Palatinate
99.92,49.30000,10.58333,Urban district,Ansbach,41681,Bavaria
46.15,51.017,11.517,Weimarer Land,Apolda,22209,Thuringia
269.68,52.8767,11.4867,Altmarkkreis Salzwedel,Arendsee,6748,Saxony-Anhalt
30.72,52.667,12.000,Stendal,Arneburg,1472,Saxony-Anhalt
0.45,54.63000,9.93139,Schleswig-Flensburg,ArnisArnæs,280,Schleswig-Holstein
193.45,51.383,8.083,Hochsauerlandkreis,Arnsberg,73487,North Rhine-Westphalia
105.11,50.83417,10.94639,Ilm-Kreis,Arnstadt,27072,Thuringia
112.12,49.967,9.983,Main-Spessart,Arnstein,8158,Bavaria
121.71,51.683,11.467,Mansfeld-Südharz,Arnstein,6502,Saxony-Anhalt
45.05,51.36667,11.30000,Kyffhäuserkreis,Artern,6597,Thuringia
43.22,50.067,12.183,Wunsiedel im Fichtelgebirge,Arzberg,5057,Bavaria
62.45,49.96667,9.15000,Urban district,Aschaffenburg,70858,Bavaria
156.31,51.750,11.467,Salzlandkreis,Aschersleben,26737,Saxony-Anhalt
5.8,48.90000,9.13333,Ludwigsburg,Asperg,13517,Baden-Württemberg
97.86,51.117,7.900,Olpe,Attendorn,24330,North Rhine-Westphalia
17.54,49.533,10.050,Würzburg,Aub,1425,Bavaria
36.43,50.600,12.683,Erzgebirgskreis,Aue-Bad Schlema,20084,Saxony
70.33,49.683,11.617,Amberg-Sulzbach,Auerbach in der Oberpfalz,8717,Bavaria
55.52,50.50944,12.40000,Vogtlandkreis,Auerbach,18048,Saxony
146.84,48.367,10.900,Urban district,Augsburg,295830,Bavaria
23.42,50.81444,13.10000,Mittelsachsen,Augustusburg,4508,Saxony
52.36,47.95417,9.63889,Ravensburg,Aulendorf,10177,Baden-Württemberg
55.75,50.700,11.900,Greiz,Auma-Weidatal,3394,Thuringia
197.21,53.47139,7.48361,Aurich,Aurich,42268,Lower Saxony
43.57,50.583,8.467,Lahn-Dill,Aßlar,13654,Hesse
66.87,49.96667,8.95000,Darmstadt-Dieburg,Babenhausen,16927,Hesse
23.65,50.06667,7.76667,Mainz-Bingen,Bacharach,1878,Rhineland-Palatinate
39.37,48.94639,9.43056,Rems-Murr-Kreis,Backnang,37558,Baden-Württemberg
41.55,47.867,12.017,Rosenheim,Bad Aibling,19097,Bavaria
126.32,51.367,9.017,Waldeck-Frankenberg,Bad Arolsen,15571,Hesse
234.82,52.14222,12.59556,Potsdam-Mittelmark,Bad Belzig,11096,Brandenburg
100.16,52.30306,7.15972,Grafschaft Bentheim,Bad Bentheim,15770,Lower Saxony
10.71,49.10280,7.99913,Südliche Weinstraße,Bad Bergzabern,8271,Rhineland-Palatinate
55.27,50.90000,11.28083,Weimarer Land,Bad Berka,7520,Thuringia
275.33,51.04972,8.40000,Siegen-Wittgenstein,Bad Berleburg,18847,North Rhine-Westphalia
38.25,50.04778,11.67222,Bayreuth,Bad Berneck i.Fichtelgebirge,4384,Bavaria
48.01,53.07917,10.58333,Uelzen,Bad Bevensen,9237,Lower Saxony
49.76,51.200,11.567,Burgenlandkreis,Bad Bibra,2654,Saxony-Anhalt
35.56,50.68333,11.26667,Saalfeld-Rudolstadt,Bad Blankenburg,6191,Thuringia
24.14,53.91861,9.88444,Segeberg,Bad Bramstedt,15128,Schleswig-Holstein
19.94,50.50917,7.29639,Ahrweiler,Bad Breisig,9530,Rhineland-Palatinate
23.73,50.30944,9.79056,Bad Kissingen,Bad Brückenau,6470,Bavaria
23.77,48.06611,9.61000,Biberach,Bad Buchau,4347,Baden-Württemberg
54.64,50.300,8.267,Limburg-Weilburg,Bad Camberg,14184,Hesse
32.74,54.10694,11.90528,Rostock,Bad Doberan,12755,Mecklenburg-Western Pomerania
115.07,51.733,9.017,Höxter,Bad Driburg,18902,North Rhine-Westphalia
45.45,51.59194,12.58528,Nordsachsen,Bad Düben,7833,Saxony
102.67,49.45944,8.16806,Bad Dürkheim,Bad Dürkheim,18553,Rhineland-Palatinate
36.13,51.283,12.067,Saalekreis,Bad Dürrenberg,11499,Saxony-Anhalt
62.09,48.017,8.533,Schwarzwald-Baar-Kreis,Bad Dürrheim,13414,Baden-Württemberg
19.77,50.28194,12.23472,Vogtlandkreis,Bad Elster,3638,Saxony
15.36,50.33806,7.71056,Rhein-Lahn-Kreis,Bad Ems,9801,Rhineland-Palatinate
